
2024/02/01 (04:00:05) | ===> btop++ v.1.3.0
2024/02/01 (04:00:05) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/02/01 (04:02:20) | ===> btop++ v.1.3.0
2024/02/01 (04:02:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/02/01 (04:02:59) | ===> btop++ v.1.3.0
2024/02/01 (04:02:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/02/01 (11:03:25) | ===> btop++ v.1.3.0
2024/02/01 (11:03:25) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/02/09 (17:31:45) | ===> btop++ v.1.3.0
2024/02/09 (17:31:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
