
2024/11/02 (19:16:17) | ===> btop++ v.1.4.0
2024/11/02 (19:16:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (16:44:02) | ===> btop++ v.1.4.0
2024/11/03 (16:44:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (16:48:00) | ===> btop++ v.1.4.0
2024/11/03 (16:48:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (00:33:52) | ===> btop++ v.1.4.0
2024/11/08 (00:33:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (04:51:20) | ===> btop++ v.1.4.0
2024/11/17 (04:51:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (04:52:57) | ===> btop++ v.1.4.0
2024/11/17 (04:52:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (05:11:32) | ===> btop++ v.1.4.0
2024/11/17 (05:11:32) | WARNING: Intel GPU: Failed to initialize PMU
